Name,Age,Overall,Potential,Special,BMI
 S. Deli,26.5,75.5,78.0,1811.0,22.674999999999997
 S. Delos,20.5,60.0,71.0,1482.5,21.83
 S. Dembele,21.5,65.75,74.75,1545.0,22.6275
 S. Demetriou,27.0,61.0,61.0,1629.0,22.45
 S. Demhasaj,22.0,63.666666666666664,72.33333333333333,1473.0,21.03333333333333
 S. Denswil,25.5,74.75,78.75,1849.5,23.4575
 S. Des Pres,18.0,48.0,64.0,1350.0,23.37
 S. Deslandes,21.5,60.5,69.5,1558.0,22.884999999999998
 S. Dest,18.5,73.5,84.0,1938.5,20.795
 S. Dewaele,20.5,67.5,76.5,1769.5,21.22
 S. Dewaest,27.333333333333332,73.0,74.66666666666667,1530.0,25.570000000000004
 S. Di Carmine,29.5,71.5,71.5,1739.5,22.0875
 S. Diakité,29.0,65.0,65.0,1778.0,22.98
 S. Diallo,22.0,61.333333333333336,71.83333333333333,1688.6666666666667,22.689999999999998
 S. Diarra,23.0,66.0,72.28571428571429,1731.2857142857142,20.681428571428572
 S. Diarrassouba,18.0,58.0,77.0,1498.0,20.18
 S. Dieckmann,23.0,62.666666666666664,67.66666666666667,1519.3333333333333,21.51
 S. Dieng,24.0,62.0,68.0,1022.0,22.80666666666667
 S. Dimitrievski,24.5,71.5,76.5,1163.25,22.93
 S. Diomande,19.0,64.0,79.0,1485.0,21.83
 S. Diop,19.0,66.33333333333333,82.33333333333333,1629.0,20.84
 S. Dioudis,25.5,72.75,75.75,1179.0,21.3025
 S. Doherty,20.0,49.0,59.0,1321.0,25.07
 S. Doi,26.5,70.75,71.25,1815.25,21.12
 S. Domínguez,29.5,64.0,64.0,1726.0,23.48
 S. Donnellan,20.0,63.0,71.0,1562.0,20.33
 S. Dooley,27.0,64.0,64.0,1582.5,24.29
 S. Doucouré,18.0,60.0,75.0,1420.0,19.86
 S. Doukara,26.5,70.75,71.5,1646.5,24.43
 S. Doumbia,25.142857142857142,69.14285714285714,74.42857142857143,1770.857142857143,22.165714285714284
 S. Downing,33.0,70.66666666666667,70.66666666666667,1847.0,19.37
 S. Drewniak,23.0,65.0,69.0,1805.0,21.83
 S. Driussi,21.0,76.0,83.0,1837.0,25.94
 S. Drljača,21.0,61.0,70.0,966.0,23.35
 S. Dubarbier,31.5,71.0,71.0,1983.0,24.36
 S. Duffy,26.666666666666668,77.0,79.33333333333333,1646.6666666666667,20.39
 S. Duggan,28.5,58.5,58.5,1672.0,23.82
 S. Duke-McKenna,18.5,58.0,71.0,1494.0,22.1
 S. Dunne,21.0,54.0,63.0,1445.0,23.09
 S. Dursun,25.25,68.25,71.375,1610.25,22.00125
 S. Dzhanaev,31.333333333333332,74.33333333333333,74.33333333333333,1156.0,23.843333333333334
 S. Díaz,20.5,68.0,80.0,1712.5,23.82
 S. Eastwood,28.5,66.5,68.0,1172.0,25.19
 S. Edera,21.5,66.75,76.5,1645.25,22.2975
 S. Eduok,23.5,69.0,72.5,1763.0,26.7
 S. Eide,18.0,52.0,67.0,1486.0,21.22
 S. Eismann,29.5,63.0,63.0,1540.0,22.72
 S. Ekramy,33.5,69.0,69.0,1151.5,24.555
 S. El Shaarawy,25.333333333333332,80.66666666666667,81.33333333333333,1934.6666666666667,22.883333333333336
 S. Elana,36.0,71.0,71.0,1081.0,23.78
 S. Elbers,26.333333333333332,67.0,67.33333333333333,1658.0,22.12
 S. Elia,20.0,62.0,71.0,1508.0,20.63
 S. Elisor,20.0,63.0,72.0,1583.0,21.52
 S. Elliott,33.0,57.0,57.0,1449.0,23.77
 S. Elworthy,19.0,54.0,65.0,1434.0,20.84
 S. Emmanuello,23.0,62.0,66.0,1602.0,21.8
 S. Enzler,19.0,53.0,65.0,835.0,22.69
 S. Eremenko,18.0,60.0,80.0,1486.0,24.52
 S. Eriksen,19.0,51.0,64.0,1420.0,21.41
 S. Eriksson,29.0,68.0,68.0,1770.0,22.13
 S. Erimuya,21.0,62.333333333333336,71.33333333333333,1449.6666666666667,20.39
 S. Ernemann,35.0,65.0,65.0,1810.0,22.69
 S. Ernst,23.5,66.0,71.5,1726.75,21.51
 S. Escudero,28.0,69.0,69.0,1745.0,24.86
 S. Esposito,17.5,66.5,83.0,1729.25,21.674999999999997
 S. Essende,20.0,63.0,72.0,1434.0,23.35
 S. Estacio,17.0,56.0,70.0,1362.0,22.46
 S. Estrada,22.0,56.0,65.0,981.0,21.52
 S. Eto'o,36.0,81.0,81.0,2019.0,23.41
 S. Evangelou,19.0,63.0,74.0,1366.0,21.52
 S. Ezatolahi,21.5,67.0,75.75,1785.5,21.49
 S. Facey,23.0,61.666666666666664,67.33333333333333,1547.6666666666667,19.93
 S. Faiqi,18.0,54.0,66.0,1446.0,23.77
 S. Falette,26.5,74.25,76.75,1642.75,26.759999999999998
 S. Falta,24.0,67.0,70.0,1690.0,20.63
 S. Faqihi,24.0,57.0,62.0,1494.0,21.81
 S. Farelli,34.5,58.5,58.5,1034.0,23.85
 S. Farhan,21.0,58.666666666666664,70.33333333333333,1431.3333333333333,21.22
 S. Farsak,20.0,56.0,65.0,1555.0,19.37
 S. Fassi,26.0,59.0,64.0,1165.0,24.52
 S. Feghouli,28.5,79.0,79.0,1931.5,23.92
 S. Ferguson,26.333333333333332,66.33333333333333,66.66666666666667,1821.3333333333333,21.49
 S. Fernández,34.5,75.0,75.0,1837.0,23.125
 S. Ferreira,21.0,68.66666666666667,75.66666666666667,1650.0,23.98
 S. Fet,23.0,67.0,72.0,1771.0,23.09
 S. Field,20.5,66.75,79.0,1731.0,18.62
 S. Fielding,19.5,52.5,66.5,1223.0,23.6575
 S. Findlay,22.5,67.5,74.0,1561.0,22.6
 S. Finley,26.0,63.0,63.5,1758.5,23.48
 S. Fischer,28.5,66.5,66.5,1512.5,24.22
 S. Fletcher,31.5,70.5,70.5,1701.25,22.11
 S. Flinders,32.333333333333336,62.666666666666664,62.666666666666664,1072.3333333333333,23.350000000000005
 S. Floccari,36.333333333333336,72.66666666666667,72.66666666666667,1714.0,23.98
 S. Flochon,26.0,62.0,64.0,1589.0,23.68
 S. Floranus,19.5,66.0,75.75,1737.75,21.84
 S. Fofana,23.5,75.5,81.0,1983.5,23.02
 S. Folan,25.5,59.5,62.5,1480.0,22.11
 S. Folarin,19.0,54.0,72.0,1438.0,21.81
 S. Foley,31.0,63.0,63.0,1747.3333333333333,21.83
 S. Fortes,27.5,69.0,71.0,1485.5,22.54
 S. Fortès,25.5,68.5,71.5,1477.5,22.54
 S. Foss,19.333333333333332,53.666666666666664,63.666666666666664,1274.3333333333333,22.42
 S. Fox,30.0,63.0,63.0,933.0,23.32
 S. Francis,33.0,75.0,75.0,1801.0,25.663333333333338
 S. Franco,20.0,68.0,74.0,1721.0,21.81
 S. Franklin,32.0,66.0,66.0,1825.0,23.09
 S. Fraser,24.0,64.66666666666667,70.0,1676.6666666666667,20.33
 S. Frederiksen,27.5,61.0,61.0,1608.5,22.11
 S. Frei,32.5,73.5,73.5,1233.0,23.97
 S. Freis,32.0,67.0,67.0,1741.0,23.32
 S. Friede,20.0,62.333333333333336,74.0,1723.6666666666667,24.28333333333333
 S. Friðjónsson,22.5,62.25,70.75,1722.5,22.11
 S. Fujio,18.0,54.0,72.0,1354.0,20.6
 S. Fujitani,20.5,61.25,69.0,1474.5,20.795
 S. Fukahori,20.0,54.0,63.0,1428.0,21.19
 S. Furtado,22.5,63.5,69.0,1628.0,22.14
 S. Fürstner,30.0,68.33333333333333,68.33333333333333,1762.6666666666667,22.986666666666668
 S. Gakpé,30.5,72.0,72.0,1815.5,24.67
 S. Galani,21.0,67.0,78.0,1738.0,23.11
 S. Galindo,23.6,65.2,71.8,1662.4,20.948
 S. Gallagher,22.5,68.75,76.25,1757.75,19.86
 S. Galloway,23.0,62.0,66.0,1550.6666666666667,23.44
 S. Gamarra,22.5,63.5,71.5,1781.0,22.78
 S. Gannon,26.333333333333332,66.0,66.33333333333333,1742.6666666666667,20.03
 S. Ganvoula,22.5,69.5,76.0,1591.75,23.15
 S. Ganz,23.5,66.5,71.5,1605.0,21.975
 S. García,27.77777777777778,72.88888888888889,74.0,1811.5555555555557,23.626666666666665
 S. Gartenmann,21.333333333333332,61.666666666666664,71.66666666666667,1523.0,23.266666666666666
 S. Gashi,28.0,70.0,70.0,1974.0,22.13
 S. Gassama,24.0,67.0,72.66666666666667,1570.6666666666667,24.41333333333333
 S. Gbegnon,26.5,66.0,68.0,1645.0,21.22
 S. Gbohouo,29.5,68.0,68.5,1064.25,22.6
 S. Gefvert,22.0,55.0,64.0,1434.0,23.44
 S. Gentiletti,32.5,74.5,74.5,1746.5,22.4
 S. George,21.0,53.0,63.0,865.0,21.49
 S. Gessl,21.0,53.0,63.0,852.0,23.08
 S. Ghoddos,24.666666666666668,73.0,75.33333333333333,1920.3333333333333,24.67
 S. Gigot,24.5,76.5,81.25,1744.25,23.5625
 S. Giménez,18.5,61.0,79.5,1474.0,20.33
 S. Giordana,22.0,60.0,67.0,1539.0,22.45
 S. Giovinco,31.5,81.25,81.25,1946.75,22.71
 S. Giuliano,21.0,62.0,72.0,1642.0,22.45
 S. Glarner,29.5,63.5,63.5,1647.5,23.09
 S. Gleeson,28.5,67.5,67.5,1901.0,24.99
 S. Glover,18.0,54.0,69.0,1332.0,22.13
 S. Gnabry,22.5,83.25,86.5,2046.75,24.09
 S. Gnaka,19.5,64.5,75.0,1611.75,19.85
 S. Golbourne,30.333333333333332,65.33333333333333,65.33333333333333,1651.6666666666667,25.81
 S. Gollnack,17.5,55.0,71.0,1309.0,23.995
 S. Golui,20.0,53.0,67.0,1294.0,20.66
 S. Gomaa,23.0,73.0,77.0,1938.0,23.44
 S. Gonda,29.5,68.75,68.75,1173.75,23.349999999999998
 S. Gonther,30.5,69.0,69.0,1471.5,25.3
 S. González,18.0,58.0,72.5,1370.5,21.59
 S. González Vega,21.0,57.0,66.0,1475.0,21.65
 S. Gordon,20.0,51.0,64.0,1432.0,19.93
 S. Gori,23.0,68.0,76.0,1132.0,21.23
 S. Goss,22.5,65.75,72.5,1734.25,22.2875
 S. Gozzi,31.0,67.0,67.0,1531.0,22.08
 S. Graham,17.8,55.8,74.6,1372.0,21.8
 S. Grahovac,26.0,68.33333333333333,70.66666666666667,1848.3333333333333,22.13
 S. Grandsir,21.5,72.25,80.25,1870.5,22.26
 S. Graves,19.5,52.5,64.5,1214.0,21.49
 S. Greenwood,17.0,57.0,74.0,1397.0,21.52
 S. Gregersen,23.5,65.25,70.75,1532.75,22.87
 S. Gregov,27.0,60.0,61.0,1325.0,23.49
 S. Grether,26.5,64.25,65.5,1715.0,24.1225
 S. Griesbeck,27.5,71.0,71.25,1722.25,23.78
 S. Griffin,21.6,56.8,65.4,1520.6,22.302
 S. Grippo,29.333333333333332,69.0,69.33333333333333,1781.0,22.643333333333334
 S. Gronsveld,22.0,62.0,69.0,1631.0,19.78
 S. Grubac,18.0,58.0,74.0,1410.0,21.77
 S. Grubač,19.5,58.5,72.5,1407.0,21.77
 S. Gryn,23.5,66.0,70.5,1721.5,23.075000000000003
 S. Grytebust,28.5,73.0,73.25,1156.5,23.85
 S. Grønli,16.5,56.0,74.5,1385.0,21.75
 S. Grønning,20.5,57.0,66.5,1398.0,23.78
 S. Gubari,21.5,59.0,69.5,1473.0,21.19
 S. Gucciardo,20.0,55.5,67.5,1397.5,23.82
 S. Guidotti,19.666666666666668,53.0,68.33333333333333,1331.3333333333333,21.52333333333333
 S. Guirassy,22.5,72.25,79.25,1775.0,23.21
 S. Guri,25.0,65.0,67.5,1647.5,23.21
 S. Gussiås,20.0,61.0,71.0,1457.0,24.52
 S. Gustafson,23.285714285714285,70.14285714285714,74.14285714285714,1828.2857142857142,22.768571428571427
 S. Gustafsson,17.5,52.0,65.5,947.0,21.8
 S. Guzmán,21.0,61.333333333333336,71.33333333333333,1616.3333333333333,18.03
 S. Guðjohnsen,21.5,60.5,70.5,1368.5,22.36
 S. Gómez,23.0,67.0,76.66666666666667,1711.6666666666667,24.13
 S. Gölles,27.0,63.333333333333336,63.666666666666664,1488.3333333333333,23.209999999999997
 S. Gönitzer,20.0,52.0,61.0,1293.0,24.36
 S. Gümüş,24.5,73.25,75.25,1845.5,22.46
 S. Gündüz,24.5,64.0,65.5,1751.75,25.64
 S. Gürler,26.5,73.75,74.0,1812.0,20.9925
 S. Habergham,25.5,61.0,62.5,1672.0,21.83
 S. Hagen,31.5,69.5,69.5,1484.5,22.98
 S. Hain,29.333333333333332,68.33333333333333,68.33333333333333,1644.6666666666667,23.41
 S. Haji,19.0,61.666666666666664,76.33333333333333,1495.6666666666667,22.790000000000003
 S. Hajrović,26.0,62.0,65.0,1405.0,22.69
 S. Hakšabanovič,19.5,67.75,78.5,1695.0,23.9675
 S. Haller,24.5,80.75,83.75,1913.25,22.942500000000003
 S. Hammershaug,18.0,52.0,66.0,1256.0,22.13
 S. Hanca,27.0,69.66666666666667,69.66666666666667,1872.0,23.62
 S. Handanovič,33.5,88.0,88.0,1281.25,24.69
 S. Handle,26.5,65.5,65.5,1734.5,23.48
 S. Hangya,23.0,67.0,74.0,1633.0,23.41
 S. Hanni,26.5,76.0,76.5,1927.5,22.62
 S. Hansen,17.0,63.0,84.0,1594.0,22.14
 S. Hanssen,18.0,56.0,74.0,1315.0,21.52
 S. Harding,28.5,55.0,55.0,1427.0,24.99
 S. Harrison,19.5,61.0,73.0,1467.5,20.33
 S. Hart,20.5,60.5,71.0,1561.0,21.384999999999998
 S. Hasukawa,22.0,58.0,67.0,1390.0,23.62
 S. Hatanaka,22.333333333333332,66.0,71.33333333333333,1518.0,23.62
 S. Haubrock,18.0,53.0,69.0,1245.0,22.11
 S. Haudum,23.5,64.5,68.5,1646.0,21.795
 S. Haugen,20.5,59.0,70.0,1424.0,21.65
 S. Hausner,18.5,55.0,71.0,1253.75,22.08
 S. Heaney,21.5,54.0,61.0,1220.0,21.74
 S. Hedlund,25.5,69.75,71.25,1754.0,22.135
 S. Hefti,20.5,68.5,81.25,1702.75,23.32
 S. Heidinger,31.0,67.0,67.0,1851.0,23.77
 S. Heil,19.0,53.0,64.0,1215.0,21.83
 S. Heltne Nilsen,25.0,68.0,72.0,1789.0,23.32
 S. Henderson,30.5,66.5,66.5,1135.0,23.990000000000002
 S. Hendrie,23.5,62.0,66.0,1516.25,21.83
 S. Henriksen,25.5,63.0,65.5,1518.5,22.69
 S. Hernández,25.5,67.5,73.5,1376.0,22.61
 S. Herrera,22.0,63.0,72.0,1475.0,21.83
 S. Herreyra,27.0,69.0,72.0,1437.0,23.97
 S. Hertner,27.333333333333332,66.0,66.33333333333333,1752.0,22.75
 S. Hezze,18.0,55.0,75.0,1548.0,23.02
 S. Hierländer,27.5,70.5,70.5,1929.25,22.45
 S. Higashi,18.0,59.333333333333336,72.33333333333333,1594.6666666666667,20.91
 S. High,18.0,57.666666666666664,77.66666666666667,1552.0,20.24
 S. Hilton,18.0,59.0,75.0,1544.0,20.91
 S. Hiramatsu,25.0,58.0,61.0,1300.0,23.02
 S. Hird,30.5,61.5,61.5,1529.5,22.72
 S. Hlanti,28.5,69.0,69.0,1641.5,23.32
 S. Hoare,24.0,63.333333333333336,68.33333333333333,1503.3333333333333,20.95
 S. Hogan,26.5,70.0,71.0,1642.75,19.37
 S. Holmén,29.4,71.8,72.6,1720.4,22.528
 S. Hopeau,21.0,56.0,68.0,1322.0,22.45
 S. Horemans,19.5,62.0,72.5,1478.5,21.380000000000003
 S. Hornby,23.0,55.666666666666664,59.666666666666664,982.6666666666666,22.77333333333333
 S. Horvath,21.5,66.75,71.75,1781.75,23.847499999999997
 S. Hoskins,25.5,63.5,64.5,1661.0,22.46
 S. Hostikka,21.0,60.333333333333336,67.33333333333333,1485.3333333333333,20.83
 S. Houston,27.0,61.0,61.0,1639.0,22.87
 S. Howes,19.0,56.0,67.0,1026.0,18.46
 S. Hraiech,21.0,62.0,69.0,1565.0,22.75
 S. Hughes,21.5,63.5,74.0,1456.5,22.36
 S. Humphrys,20.5,63.25,72.5,1578.5,26.47
 S. Hutchinson,27.714285714285715,72.28571428571429,72.57142857142857,1691.2857142857142,22.132857142857144
 S. Hyodo,32.0,62.0,62.0,1704.6666666666667,22.790000000000003
 S. Härtel,19.0,57.333333333333336,67.0,1477.3333333333333,23.106666666666666
 S. Iacoponi,31.5,70.25,70.25,1599.75,22.45
 S. Ibeagha,26.333333333333332,64.33333333333333,67.33333333333333,1398.3333333333333,23.78
 S. Ibrahim,22.0,62.0,69.0,1509.3333333333333,24.36
 S. Icardi,20.0,57.0,66.0,1466.0,23.02
 S. Ichazo,26.5,64.75,64.75,1120.0,23.49
 S. Igboun,26.0,75.0,75.0,1985.0,24.47
 S. Iljutcenko,27.5,69.25,69.25,1659.25,23.21
 S. Ilsanker,29.5,75.0,75.0,1739.75,24.2475
 S. Inagaki,25.5,65.0,66.5,1771.0,22.950000000000003
 S. Ingason,24.333333333333332,73.0,77.0,1733.3333333333333,22.64333333333333
 S. Ingelsson,20.5,64.5,76.25,1656.5,23.49
 S. Ingolitsch,21.5,62.75,70.25,1541.5,22.78
 S. Iocolano,27.0,66.0,66.0,1572.0,23.44
 S. Ireland,30.0,72.0,72.0,1808.0,22.46
 S. Ishizaki,35.5,68.5,68.5,1831.5,24.91
 S. Ito,28.5,64.0,64.0,1572.5,22.72
 S. Jackson,30.5,62.5,62.5,1626.5,24.47
 S. Jacob,27.0,64.0,64.0,1571.0,21.83
 S. Jaime,30.5,67.0,67.0,1695.0,22.46
 S. Jakobsen,26.0,68.0,71.0,1577.0,23.7
 S. Jakubiak,25.0,65.0,68.33333333333333,1744.6666666666667,21.613333333333333
 S. Jamieson,25.666666666666668,63.666666666666664,68.33333333333333,1716.3333333333333,22.25
 S. Janko,22.5,70.25,75.0,1777.75,23.674999999999997
 S. Janneh,19.5,55.5,70.5,1362.0,20.33
 S. Janssen,18.0,58.666666666666664,72.33333333333333,1607.6666666666667,22.25
 S. Jarl,20.0,58.0,70.0,1492.0,20.07
 S. Jarovic,20.0,54.0,64.0,1253.0,23.27
 S. Jasper,18.5,60.0,77.5,1503.5,19.68
 S. Jepsen,18.0,51.0,66.0,1450.0,23.09
 S. Jhingan,23.5,64.0,69.5,1432.5,20.66
 S. Jiménez,20.5,59.5,69.0,1471.5,22.145
 S. Johansen,27.5,72.75,73.0,1993.0,23.32
 S. Johnson,27.5,70.0,71.5,1440.75,24.91
 S. Johnstone,25.5,74.75,79.5,1217.0,22.54
 S. Jombati,30.5,63.5,63.5,1600.75,22.13
 S. Jones,25.5,59.5,61.5,1539.0,22.08
 S. Joss,22.5,59.0,65.0,1427.0,21.51
 S. Jovanović,24.5,64.25,66.0,1524.75,23.855
 S. Jovetić,28.5,78.5,78.5,1936.75,23.32
 S. Juklerød,24.5,69.25,73.5,1848.25,22.67
 S. Juma,20.5,63.0,71.0,1616.5,24.13
 S. Jung,28.333333333333332,72.0,72.33333333333333,1877.0,22.78
 S. Junqua,22.0,55.333333333333336,63.666666666666664,1371.0,23.320000000000004
 S. Jurado,20.5,64.0,75.75,981.25,23.235
 S. Jørgensen,19.0,55.0,70.0,1331.0,21.83
 S. Kaba,24.0,67.33333333333333,71.66666666666667,1661.3333333333333,21.77
 S. Kagawa,29.5,79.25,79.25,1883.75,22.14
 S. Kaikai,22.5,67.0,73.0,1683.5,20.63
 S. Kalajdzic,19.5,62.5,74.5,1585.5,19.375
 S. Kalajdžić,21.5,67.5,77.0,1684.5,18.88
 S. Kalou,32.0,78.33333333333333,78.33333333333333,1924.3333333333333,22.91
 S. Kalu,20.5,74.75,82.5,1799.0,24.625
 S. Kamata,28.5,63.5,63.5,1675.5,22.79
 S. Kanazawa,33.0,55.0,55.0,1500.0,21.81
 S. Kaneko,23.5,68.5,72.0,1798.25,21.95
 S. Kapidžić,27.0,62.0,62.0,1499.0,23.32
 S. Kapino,24.5,73.25,78.0,1192.5,23.79
 S. Kaptein,18.0,60.0,71.0,1511.0,21.51
 S. Karakoç,21.0,60.333333333333336,71.33333333333333,1574.0,23.13
 S. Karamoko,24.4,65.0,68.2,1631.4,21.92
 S. Karlsson,28.0,64.0,64.0,1696.0,25.62
 S. Karweina,20.0,59.5,69.5,1422.5,22.465
 S. Kashket,22.5,64.0,71.25,1600.5,21.49
 S. Kasongo,16.0,51.0,75.0,1401.0,22.79
 S. Kassar,28.0,60.0,60.0,1541.0,20.37
 S. Kavanagh,24.0,61.666666666666664,65.33333333333333,1719.0,20.18
 S. Kavrazlı,17.5,62.5,76.5,1488.0,21.83
 S. Kawamata,27.5,56.0,56.5,902.5,24.34
 S. Kawasaki,18.0,58.0,72.0,1475.0,23.48
 S. Kaya,26.0,66.66666666666667,68.5,1575.0,23.64
 S. Kchouk,24.5,60.5,65.0,1482.0,23.02
 S. Kehli,29.0,64.0,64.0,1572.0,21.77
 S. Keita,18.5,63.5,77.5,1502.0,22.134999999999998
 S. Kelly,24.333333333333332,59.0,63.166666666666664,1533.8333333333333,22.040000000000003
 S. Kennedy,23.0,61.0,68.0,1328.0,21.2
 S. Kerk,24.5,69.5,72.25,1761.5,22.869999999999997
 S. Kersten,22.0,65.0,71.0,1532.0,21.49
 S. Khadda,25.0,58.0,61.0,1468.0,22.14
 S. Khaoui,23.5,71.0,75.0,1751.25,20.33
 S. Khayat,18.0,52.0,72.0,1443.0,22.12
 S. Khedira,31.5,83.0,83.0,2115.75,25.19
 S. Khelifi,24.333333333333332,68.33333333333333,71.66666666666667,1672.3333333333333,21.226666666666667
 S. Khumalo,27.0,66.0,66.0,1721.0,24.55
 S. Kiełpin,29.0,63.0,63.0,1079.0,24.22
 S. Kikuchi,26.0,67.0,68.0,1769.0,22.75
 S. Kimura,17.5,55.5,70.5,1266.5,22.98
 S. Kind Mikalsen,24.5,64.0,67.0,1777.0,23.56
 S. Kingsley,23.0,68.33333333333333,73.0,1764.6666666666667,24.36
 S. Kitsiou,23.5,70.0,74.0,1883.5,23.13
 S. Kittel,25.5,73.5,74.5,1816.75,24.04
 S. Kiyine,20.5,67.25,79.25,1786.0,22.13
 S. Kjellevold,22.5,58.5,67.0,880.0,20.07
 S. Kjær,29.5,80.0,80.25,1839.5,23.47
 S. Klaas,20.333333333333332,61.0,75.0,1491.3333333333333,20.36
 S. Klaiber,23.5,73.25,76.25,1985.0,22.72
 S. Kleineheismann,29.0,65.0,65.0,1589.0,22.36
 S. Kljestan,32.5,70.75,70.75,1901.75,22.4
 S. Knežević,21.5,65.75,78.0,1438.75,22.93
 S. Kobayashi,26.5,64.0,64.25,1661.75,22.8675
 S. Kodama,19.0,59.0,69.0,1453.0,22.01
 S. Koita,20.0,67.75,78.75,1683.0,23.2675
 S. Kokovas,17.0,55.5,74.5,1425.0,22.98
 S. Kolašinac,25.5,79.0,81.5,1997.25,25.415
 S. Konde,24.0,66.0,73.0,1511.0,24.25
 S. Kono,25.0,60.0,63.0,1542.0,21.83
 S. Kopp,22.0,61.0,69.0,1250.0,22.16
 S. Korb,27.0,61.0,63.0,1696.0,23.44
 S. Koroki,31.5,71.5,71.5,1782.25,23.44
 S. Kot,19.0,60.0,69.0,1552.0,23.82
 S. Kotysch,28.0,68.0,69.0,1614.0,22.93
 S. Kowalczyk,19.5,61.75,73.5,1576.0,19.51
 S. Kreyer,28.0,63.0,63.0,1553.0,24.29
 S. Kritsyuk,27.5,78.5,81.0,1199.5,22.54
 S. Krivets,31.0,68.0,68.0,1733.0,23.09
 S. Kroll,22.0,64.5,72.5,1035.5,23.97
 S. Kroon,25.333333333333332,65.66666666666667,67.0,1669.3333333333333,21.83
 S. Krpić,29.0,65.0,65.0,1507.0,23.49
 S. Kryvtsov,27.5,74.75,76.25,1671.75,24.14
 S. Kukuruzović,28.0,63.0,63.0,1721.0,23.37
 S. Kulenović,19.0,61.666666666666664,78.66666666666667,1471.0,22.416666666666668
 S. Kulovits,34.5,68.0,68.0,1775.5,21.83
 S. Kumagai,20.0,57.0,68.0,1508.0,22.87
 S. Kums,30.5,75.5,75.5,2030.5,23.3625
 S. Kurata,29.333333333333332,67.66666666666667,67.66666666666667,1799.6666666666667,22.790000000000003
 S. Kurt,20.0,63.0,77.0,1484.0,23.8
 S. Kurtuluş,28.5,68.5,68.5,1775.5,22.57
 S. Kurumaya,26.5,69.5,70.25,1830.0,23.17
 S. Kutschke,29.5,68.0,68.0,1548.5,25.23
 S. Kverkvelia,26.5,75.5,78.25,1606.5,22.74
 S. Kyei,20.0,62.0,74.0,1493.0,23.49
 S. Köhler,23.0,66.0,72.0,1710.0,20.94
 S. Kınalı,21.0,60.0,68.0,1454.0,23.37
 S. Kırıntılı,33.333333333333336,74.66666666666667,74.66666666666667,1170.3333333333333,22.69
 S. Lahssaini,20.0,59.0,69.0,1616.0,22.78
 S. Lainer,25.5,76.75,78.0,1979.25,22.7875
 S. Laird,29.5,63.0,63.0,1749.5,24.82
 S. Laitinen,17.5,51.0,68.0,1319.0,23.77
 S. Laiton,18.5,60.0,79.0,1083.0,21.64
 S. Lammens,17.0,57.0,76.0,895.0,19.32
 S. Lammers,21.5,72.5,81.0,1751.5,21.509999999999998
 S. Laner,33.0,65.0,65.0,1747.0,23.62
 S. Langkamp,30.0,75.66666666666667,75.66666666666667,1496.6666666666667,23.149999999999995
 S. Larsen,30.0,63.0,63.0,1407.0,22.27
 S. Larsson,29.5,73.75,74.25,1948.0,21.83
 S. Lathouwers,18.0,55.0,69.0,1337.0,20.63
 S. Lauper,21.5,65.0,76.5,1745.5,20.94
 S. Lavelle,21.5,57.75,66.0,1287.75,22.115000000000002
 S. Lavery,20.0,60.0,74.0,1476.0,20.51
 S. Lawless,26.5,65.0,65.0,1759.0,22.1
 S. Lawson,24.0,66.0,71.0,1808.0,24.36
 S. Lebus,21.5,58.5,67.5,1493.5,22.45
 S. Lentinelly,21.5,64.0,73.0,1018.0,23.005000000000003
 S. Leuko,24.333333333333332,66.0,69.33333333333333,1733.3333333333333,22.896666666666665
 S. Lewerenz,27.5,66.25,66.25,1640.75,24.74
 S. Lex,28.5,67.5,67.5,1694.5,23.33
 S. Leyton,24.5,64.0,68.0,1775.0,21.51
 S. Lichtsteiner,34.0,76.0,76.0,1989.0,22.72
 S. Lille-Løvø,19.0,51.0,64.0,1306.0,23.41
 S. Limbombe,27.333333333333332,68.66666666666667,68.66666666666667,1772.6666666666667,25.74
 S. Ling,22.5,57.5,65.5,1455.5,20.51
 S. Lippert,20.0,56.0,68.0,1226.0,21.74
 S. Lizana,25.0,66.0,67.0,1652.0,25.35
 S. Llambay,22.0,59.0,66.0,1505.0,25.48
 S. Lletget,25.5,70.75,72.0,1874.75,23.41
 S. Lo Faso,20.5,63.75,77.25,1598.5,22.62
 S. Lobjanidze,23.5,69.5,74.5,1705.75,20.18
 S. Lobotka,23.5,77.5,83.5,1961.25,21.75
 S. Locigno,21.0,63.0,69.0,1694.0,20.33
 S. Logan,29.5,70.5,70.5,1848.0,22.950000000000003
 S. Lomónaco,19.0,60.0,74.5,1433.5,23.78
 S. Londoño,23.0,64.66666666666667,72.0,1069.3333333333333,20.44333333333333
 S. Long,25.9,65.1,69.2,1587.7,22.235
 S. Longo,26.5,70.5,71.5,1758.5,22.9075
 S. Longstaff,20.5,68.75,81.0,1765.0,19.68
 S. Lorenz,21.333333333333332,62.333333333333336,70.33333333333333,1447.6666666666667,23.80333333333333
 S. Loric,18.0,52.0,66.0,1305.0,22.46
 S. Lovric,20.0,65.66666666666667,76.33333333333333,1650.0,21.73
 S. Lovrič,22.0,67.0,74.0,1763.0,22.75
 S. Lowry,28.5,68.0,69.0,1630.0,25.3
 S. Luaibi,25.0,68.0,71.0,1855.0,22.45
 S. Lukić,25.2,71.2,77.2,1772.8,23.3
 S. Lulić,32.5,78.75,78.75,2132.75,23.32
